Acc_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type
200501BS70068,1,9,0,18,0,8,0,0,0,0,1,1,15,1,6,1997,1,11,6,1
200501BS70068,2,9,0,18,0,8,0,0,0,0,1,1,15,2,5,1242,1,3,2,1
200501BS70069,1,19,0,9,0,8,0,0,0,0,1,1,15,1,8,1870,2,-1,4,1
200501BS70070,1,9,0,18,0,8,0,0,0,0,1,1,15,1,7,1997,2,2,3,1
200501BS70072,1,2,0,18,0,8,0,0,0,0,1,1,15,1,6,49,1,5,-1,-1
200501BS70073,1,8,0,18,0,1,0,0,0,0,1,1,15,1,6,-1,-1,-1,5,1
200501BS70073,2,1,0,18,0,1,0,0,0,0,2,1,15,1,10,-1,-1,-1,7,1
200501BS70074,1,9,0,18,0,0,2,0,0,0,1,1,15,1,7,3246,1,1,-1,-1
200501BS70075,1,11,0,2,0,8,0,0,0,0,0,1,1,1,-1,7300,2,2,-1,-1
200501BS70076,1,1,0,12,0,1,0,0,0,0,1,1,15,1,6,-1,-1,-1,5,1
200501BS70076,2,11,0,18,0,1,0,0,0,0,1,1,15,1,8,7300,2,4,1,1
200501BS70077,1,9,0,3,0,8,0,0,0,0,2,1,15,2,7,3950,1,2,7,1
200501BS70077,2,19,0,4,0,8,0,0,0,0,1,1,15,1,6,-1,-1,-1,4,1
200501BS70078,1,9,0,9,0,8,0,0,0,0,1,1,15,1,8,-1,-1,-1,1,1
200501BS70078,2,1,0,9,0,8,0,0,0,0,1,1,15,1,6,-1,-1,-1,2,1
200501BS70079,1,5,0,18,0,8,0,0,0,0,1,1,15,1,7,645,1,3,7,1
200501BS70079,2,3,0,18,0,8,0,0,0,0,1,1,15,1,7,125,1,2,7,1
200501BS70079,3,9,0,18,0,8,0,0,0,0,1,1,15,1,7,-1,-1,-1,4,1
200501BS70080,1,9,0,18,0,8,0,0,0,0,1,1,15,2,7,4660,1,5,-1,-1
200501BS70080,2,9,0,3,0,8,0,0,0,0,2,1,15,1,6,1900,2,5,4,1
200501BS70080,3,9,0,3,0,8,0,0,0,0,2,1,15,2,7,3199,1,5,5,1
200501BS70082,1,4,0,18,0,0,0,0,0,0,1,1,15,2,5,399,1,11,-1,-1
200501BS70083,1,9,0,18,0,0,0,0,0,0,4,1,15,1,5,1360,1,1,-1,-1
200501BS70084,1,1,0,18,0,8,0,0,0,0,1,1,15,1,7,-1,-1,-1,3,1
200501BS70084,2,8,0,6,0,8,0,0,0,0,1,1,15,1,-1,-1,-1,-1,-1,-1
200501BS70085,1,5,0,18,0,0,0,0,0,0,0,1,15,1,6,988,1,3,4,1
200501BS70085,2,21,0,18,0,0,0,0,0,0,1,1,15,1,7,7790,2,2,5,1
200501BS70086,1,9,0,10,0,8,0,0,0,0,2,1,15,1,7,1985,1,15,3,1
200501BS70086,2,9,0,18,0,8,0,0,0,0,1,1,15,1,6,1896,2,2,1,1
200501BS70087,1,9,0,18,0,8,0,0,0,0,1,1,15,1,8,954,1,12,3,1
200501BS70087,2,9,0,9,0,8,0,0,0,0,1,1,15,1,8,-1,-1,-1,10,1
200501BS70088,1,11,0,3,0,8,0,0,0,0,0,1,15,1,8,8268,2,3,4,1
200501BS70088,2,9,0,18,0,8,0,0,0,0,1,1,15,1,7,5998,1,1,8,1
200501BS70089,1,9,0,18,0,8,0,0,0,0,1,1,15,2,9,1895,1,4,6,1
200501BS70089,2,1,0,7,0,8,0,0,0,0,2,1,15,2,7,-1,-1,-1,4,1
200501BS70090,1,4,0,18,0,1,0,0,0,0,1,1,15,1,8,-1,-1,-1,7,1
200501BS70091,1,19,0,9,0,8,0,0,0,0,1,1,15,1,5,1686,2,2,3,1
200501BS70091,2,9,0,2,0,8,0,0,0,0,1,1,15,2,7,1796,1,6,2,1
200501BS70092,1,9,0,2,0,0,0,0,0,0,3,1,15,2,8,1998,1,7,7,1
200501BS70092,2,9,0,2,0,0,0,0,0,0,2,1,15,2,7,-1,-1,-1,9,1
200501BS70092,3,3,0,18,0,0,0,0,0,0,1,1,15,1,-1,124,1,5,-1,-1
200501BS70093,1,5,0,3,0,8,0,0,0,0,2,1,15,1,6,-1,-1,-1,2,1
200501BS70093,2,8,0,18,0,8,0,0,0,0,1,1,15,1,-1,2664,2,14,-1,-1
200501BS70094,1,3,0,18,0,8,0,0,0,0,0,1,15,1,-1,-1,-1,-1,-1,-1
200501BS70095,1,5,0,18,0,8,0,0,0,0,1,1,15,1,6,-1,-1,-1,7,1
200501BS70096,1,3,0,13,0,0,0,0,0,0,1,1,15,1,6,124,1,2,8,1
200501BS70096,2,9,0,12,0,0,0,0,0,0,3,1,15,1,7,-1,-1,-1,4,1
200501BS70097,1,9,0,18,0,8,0,0,0,0,1,1,15,2,8,1332,1,8,3,1
200501BS70098,1,9,0,18,0,8,0,0,0,0,1,1,15,1,8,-1,-1,-1,6,1
200501BS70099,1,11,0,4,0,8,0,0,0,0,0,1,15,1,6,8268,2,3,2,1
200501BS70100,1,9,0,18,0,0,0,0,0,0,0,1,15,3,-1,-1,-1,-1,-1,-1
200501BS70101,1,1,0,18,0,2,0,0,0,0,1,1,15,1,-1,-1,-1,-1,-1,-1
200501BS70102,1,9,0,5,0,8,0,0,0,0,3,1,15,2,8,1781,1,12,-1,-1
200501BS70102,2,5,0,18,0,8,0,0,0,0,1,1,15,1,11,-1,-1,-1,-1,-1
200501BS70105,1,9,0,9,0,8,0,0,0,0,3,1,15,1,-1,-1,-1,-1,-1,-1
200501BS70105,2,1,0,18,0,8,0,0,0,0,1,1,15,1,6,-1,-1,-1,-1,-1
200501BS70107,1,2,0,18,0,1,0,0,0,0,1,1,15,1,6,49,1,1,1,1
200501BS70107,2,9,0,6,0,2,0,0,0,0,4,1,15,3,-1,-1,-1,-1,-1,-1
200501BS70108,1,9,0,3,0,8,0,0,0,0,2,1,15,1,7,1242,1,3,5,1
200501BS70108,2,9,0,18,0,8,0,0,0,0,1,1,15,1,-1,1800,1,5,-1,-1
200501BS70109,1,9,0,18,0,8,0,0,0,0,3,1,15,1,8,998,1,12,6,1
200501BS70109,2,9,0,18,0,8,0,0,0,0,1,1,15,1,9,-1,-1,-1,10,1
200501BS70110,1,8,0,3,0,8,0,0,0,0,2,1,15,1,9,-1,-1,-1,3,1
200501BS70110,2,9,0,18,0,8,0,0,0,0,1,1,15,1,4,1598,1,1,1,1
200501BS70111,1,19,0,10,0,8,0,0,0,0,3,1,15,1,7,2402,2,3,3,1
200501BS70111,2,4,0,18,0,1,1,0,0,0,1,1,15,1,5,399,1,13,2,1
200501BS70112,1,19,0,1,0,8,0,0,0,0,2,1,15,1,6,2151,2,2,7,1
200501BS70112,2,5,0,7,0,1,0,0,0,0,1,1,15,1,8,1130,1,1,7,3
200501BS70112,3,9,0,7,0,1,0,0,0,0,1,1,15,2,7,1896,2,-1,7,1
200501BS70113,1,11,0,5,0,0,0,0,0,0,0,1,1,1,-1,-1,-1,-1,-1,-1
200501BS70114,1,9,0,1,0,8,0,0,0,0,2,1,15,1,-1,-1,-1,-1,-1,-1
200501BS70115,1,9,0,16,0,8,0,0,0,0,3,1,15,1,10,4398,1,1,10,1
200501BS70115,2,9,0,16,0,8,0,0,0,0,3,1,15,2,6,-1,-1,-1,8,1
200501BS70115,3,9,0,9,0,8,0,0,0,0,4,1,15,1,5,1783,1,6,2,1
200501BS70116,1,9,0,9,0,8,0,0,0,0,1,1,15,2,4,-1,-1,-1,7,1
